id,label,area
26875,residuals,31658
26876,lighting,10206
26877,kitchen_outlets,2720
26878,kitchen_outlets,3900
26879,lighting,5109
26880,kitchen_outlets,848
26881,lighting,7332
26882,kitchen_outlets,2220
26883,lighting,2898
26884,kitchen_outlets,1216
26885,lighting,288
26886,lighting,1173
26887,lighting,104
26888,lighting,60
26889,lighting,84
26890,kitchen_outlets,55
26891,bathroom_gfi,9414
26892,lighting,1290
26893,kitchen_outlets,162
26894,lighting,116
26895,kitchen_outlets,84
26896,lighting,504
26897,kitchen_outlets,63
26898,lighting,1029
26899,oven,462
26900,lighting,884
26901,lighting,216
