id,label,area
13752,residuals,10073
13753,refrigerator,2835
13754,refrigerator,2483
13755,refrigerator,4209
13756,refrigerator,6265
13757,oven,14670
13758,kitchen_outlets,5455
13759,refrigerator,2790
13760,refrigerator,2379
13761,refrigerator,70
13762,refrigerator,3081
13763,refrigerator,279
13764,refrigerator,45
13765,refrigerator,66
13766,refrigerator,126
13767,refrigerator,50
13768,residuals,10073
13769,refrigerator,3540
13770,refrigerator,3312
13771,kitchen_outlets,5460
13772,refrigerator,3843
13773,refrigerator,2700
13774,refrigerator,4576
13775,refrigerator,3885
13776,refrigerator,2160
13777,oven,4368
13778,refrigerator,2379
13779,refrigerator,3222
13780,refrigerator,3382
13781,refrigerator,3885
13782,refrigerator,5760
13783,refrigerator,3264
13784,refrigerator,7920
13785,refrigerator,4255
13786,refrigerator,3439
13787,refrigerator,108
13788,refrigerator,45
13789,refrigerator,72
13790,refrigerator,63
13791,refrigerator,198
13792,refrigerator,60
13793,refrigerator,72
13794,refrigerator,90
13795,oven,13572
13796,refrigerator,40
13797,refrigerator,132
13798,refrigerator,99
13799,refrigerator,63
13800,refrigerator,189
13801,refrigerator,3192
13802,refrigerator,324
13803,refrigerator,63
13804,refrigerator,72
13805,refrigerator,80
13806,refrigerator,162
13807,refrigerator,81
13808,residuals,10073
13809,refrigerator,2483
13810,refrigerator,4209
13811,refrigerator,6615
13812,kitchen_outlets,5455
13813,oven,12205
13814,refrigerator,2805
13815,refrigerator,2379
13816,refrigerator,2835
13817,refrigerator,63
13818,refrigerator,3068
13819,refrigerator,126
13820,refrigerator,45
13821,refrigerator,66
13822,refrigerator,50
13823,residuals,10073
13824,refrigerator,3720
13825,refrigerator,5760
13826,refrigerator,3281
13827,refrigerator,7875
13828,refrigerator,4255
13829,refrigerator,3439
13830,refrigerator,4070
13831,refrigerator,3312
13832,refrigerator,3780
13833,refrigerator,2700
13834,refrigerator,4602
13835,oven,12205
13836,refrigerator,3885
13837,refrigerator,2160
13838,refrigerator,3640
13839,refrigerator,2379
13840,kitchen_outlets,5455
13841,refrigerator,3222
13842,refrigerator,3382
13843,refrigerator,45
13844,refrigerator,189
13845,refrigerator,3178
13846,refrigerator,333
13847,refrigerator,63
13848,refrigerator,72
13849,refrigerator,45
13850,refrigerator,45
13851,refrigerator,120
13852,refrigerator,60
13853,refrigerator,210
13854,refrigerator,60
13855,refrigerator,72
13856,refrigerator,90
13857,refrigerator,40
13858,refrigerator,132
13859,refrigerator,110
13860,refrigerator,162
13861,refrigerator,81
13862,residuals,10073
13863,kitchen_outlets,4272
13864,oven,14664
13865,refrigerator,2790
13866,refrigerator,2379
13867,refrigerator,2835
13868,refrigerator,2483
13869,refrigerator,4209
13870,refrigerator,6265
13871,refrigerator,45
13872,refrigerator,66
13873,refrigerator,63
13874,refrigerator,3068
13875,refrigerator,279
13876,refrigerator,126
13877,refrigerator,50
13878,residuals,10073
13879,refrigerator,5760
13880,refrigerator,3264
13881,refrigerator,8280
13882,refrigerator,4255
13883,refrigerator,3420
13884,refrigerator,4070
13885,refrigerator,3312
13886,refrigerator,3801
13887,refrigerator,2700
13888,kitchen_outlets,4276
13889,refrigerator,4576
13890,refrigerator,3885
13891,refrigerator,2160
13892,refrigerator,3640
13893,refrigerator,2379
13894,refrigerator,3222
13895,oven,14676
13896,refrigerator,3401
13897,refrigerator,3885
13898,refrigerator,189
13899,refrigerator,3192
13900,refrigerator,171
13901,refrigerator,63
13902,refrigerator,110
13903,refrigerator,63
13904,refrigerator,50
13905,refrigerator,110
13906,refrigerator,54
13907,refrigerator,198
13908,refrigerator,60
13909,refrigerator,72
13910,refrigerator,90
13911,refrigerator,40
13912,refrigerator,120
13913,refrigerator,90
13914,refrigerator,63
13915,refrigerator,100
13916,refrigerator,70
13917,refrigerator,50
13918,refrigerator,32
13919,residuals,10073
13920,oven,12205
13921,refrigerator,2805
13922,refrigerator,2392
13923,refrigerator,2835
13924,refrigerator,2483
13925,refrigerator,4209
13926,refrigerator,6615
13927,kitchen_outlets,4272
13928,refrigerator,45
13929,refrigerator,60
13930,refrigerator,63
13931,refrigerator,3068
13932,refrigerator,126
13933,refrigerator,50
13934,residuals,10073
13935,refrigerator,3620
13936,refrigerator,2379
13937,refrigerator,3222
13938,refrigerator,3496
13939,refrigerator,3906
13940,refrigerator,5792
13941,refrigerator,3281
13942,refrigerator,8325
13943,kitchen_outlets,4272
13944,refrigerator,4255
13945,refrigerator,3439
13946,refrigerator,4026
13947,refrigerator,3312
13948,refrigerator,3843
13949,oven,12210
13950,refrigerator,2880
13951,refrigerator,4524
13952,refrigerator,3885
13953,refrigerator,2160
13954,refrigerator,108
13955,refrigerator,40
13956,refrigerator,132
13957,refrigerator,91
13958,refrigerator,54
13959,refrigerator,189
13960,refrigerator,3192
13961,refrigerator,162
13962,refrigerator,63
13963,refrigerator,72
13964,refrigerator,99
13965,refrigerator,45
13966,refrigerator,81
13967,refrigerator,54
13968,refrigerator,253
13969,refrigerator,60
13970,refrigerator,72
13971,refrigerator,40
13972,refrigerator,81
13973,refrigerator,70
